Project Code,Station ID,Sample ID,First Trigger Date,Collection_Date,Sample Type New,Collection Method,Depth,Depth Unit,Matrix,Test Number,Test Name,Storet Code,Method,Measure Date,Value,Sigfig Value,Uncertainty,MDL,PQL,RDL,Units,Remark Code,Flag,Receive Date,LIMS Number,Collection Agency,Source,Owner,Validation Level,Validator,Sampling Purpose,Data Investigation,T Depth,Upper Depth,Lower Depth,DCS(METERS),Filtration Date,Sample Type,QC Type,Discharge,Up/Down Stream,Weather Code,Program Type,NDEC,Sample Comments,Result Comments
EVER,TSB,6,,10/29/1985 12:20,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,85006681,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,12,,11/26/1985 13:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.006,0.006,,,,,mg/L,,,,85007164,,WMD,WMD,,,,,,,,,,0,,1,0,1,MON,3,,
EVER,TSB,18,,12/17/1985 11:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,85007573,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,24,,1/21/1986 11:35,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,86000369,,WMD,WMD,,,,,,,,,,0,,2,0,1,MON,3,,
EVER,TSB,30,,3/4/1986 11:50,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.022,0.022,,,,,mg/L,,,,86001023,,WMD,WMD,,,,,,,,,,0,,2,0,1,MON,3,,
EVER,TSB,35,,4/1/1986 13:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,86001544,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,40,,4/29/1986 12:15,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.019,0.019,,,,,mg/L,,,,86002076,,WMD,WMD,,,,,,,,,,0,,1,0,0,MON,3,,
EVER,TSB,45,,5/27/1986 12:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.053,0.053,,,,,mg/L,,,,86002773,,WMD,WMD,,,,,,,,,,0,,0,0,3,MON,3,,
EVER,TSB,53,,6/9/1986 12:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.013,0.013,,,,,mg/L,,,,86003048,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,61,,7/25/1986 12:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.007,0.007,,,,,mg/L,,,,86004264,,WMD,WMD,,,,,,,,,,0,,1,0,3,MON,3,,
EVER,TSB,69,,8/18/1986 12:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.039,0.039,,,,,mg/L,,,,86004883,,WMD,WMD,,,,,,,,,,0,,1,0,4,MON,3,,
EVER,TSB,77,,9/15/1986 12:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,-0.004,-0.004,,,,,mg/L,,,,86005622,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,86,,10/27/1986 13:00,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.033,0.033,,,,,mg/L,,,,86006762,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,95,,11/19/1986 12:40,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.007,0.007,,,,,mg/L,,,,86007565,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,104,,12/30/1986 13:30,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.005,0.005,,,,,mg/L,,,,87000023,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
EVER,TSB,113,,1/26/1987 12:45,SAMP,G,0,,SW,25,"PHOSPHATE, TOTAL AS P",,,,0.009,0.009,,,,,mg/L,,,,87000554,,WMD,WMD,,,,,,,,,,0,,1,0,2,MON,3,,
